id;descricao;due_date;crate_date;status
1;Savings architectures Madeira;2021-07-15T18:21:59;2021-07-16T08:59:25;AFAZER
2;PNG Marginal;2021-07-16T03:53:00;2021-07-16T07:43:43;AFAZER
3;Integration;2021-07-16T11:51:14;2021-07-16T10:59:58;AFAZER
4;Alameda Macio;2021-07-16T10:56:42;2021-07-15T18:26:47;AFAZER
5;Amapá enterprise overriding;2021-07-16T00:53:16;2021-07-16T07:37:41;FEITO
6;Direct AGP;2021-07-16T12:46:12;2021-07-16T12:07:34;FAZENDO
7;Manat;2021-07-15T19:26:13;2021-07-16T10:11:05;FEITO
8;throughput Prático Bacon;2021-07-16T16:29:02;2021-07-15T19:35:20;FAZENDO
9;Congelado;2021-07-15T23:30:38;2021-07-15T18:31:15;FAZENDO
10;compelling;2021-07-15T19:05:57;2021-07-16T07:31:49;FAZENDO
